,iata,name,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
278,GND,"Point Salines, St. George's",St. George's,GD,12.004199,-61.7862,JFK,1.0,3481.47,400.37,11.033306326713957
279,HEL,"Helsinki Vantaa, Helsinki",Helsinki,FI,60.3172,24.9633,JFK,1.0,6335.41,728.57,20.077768040697325
280,EGE,"Eagle County Regional, Eagle",Eagle,US,39.6426,-106.918,JFK,1.0,3013.52,346.55,9.550146882940084
281,KWI,"Kuwait, Kuwait City",Kuwait City,KW,29.2266,47.9689,JFK,1.0,9922.1,1141.04,31.444523443399085
282,MTY,"General Mariano Escobedo, Monterrey",Monterrey,MX,25.7785,-100.107,JFK,1.0,3229.47,371.39,10.234682010835716
283,BOM,"Chhatrapati Shivaji, Mumbai",Mumbai,IN,19.0887,72.8679,JFK,1.0,12261.11,1410.03,38.8572893070322
284,MUC,"Munich, Munich",Munich,DE,48.3538,11.7861,JFK,1.0,6198.31,712.81,19.64345750866692
285,SNA,"John Wayne -Orange County, Santa Ana",Santa Ana,US,33.6757,-117.868,JFK,1.0,4170.99,479.66,13.218362296554728
286,YUL,"Montréal Pierre Elliott Trudeau, Montréal",Montréal,CA,45.4706,-73.7408,JFK,1.0,408.77,47.01,1.2954909968749484
287,PSP,"Palm Springs, Palm Springs",Palm Springs,US,33.8297,-116.507,JFK,1.0,4051.12,465.88,12.838616158776878
288,PSE,"Mercedita, Ponce",Ponce,PR,18.0083,-66.563,JFK,1.0,2733.06,314.3,8.661408643220513
289,PAP,"Toussaint Louverture, Port-au-Prince",Port-au-Prince,HT,18.58,-72.2925,JFK,1.0,2639.86,303.58,8.365989296560238
290,POP,"Gregorio Luperon, Puerto Plata",Puerto Plata,DO,19.7579,-70.57,JFK,1.0,2507.02,288.31,7.9451820742186
291,PVR,"Licenciado Gustavo Díaz Ordaz, Puerto Vallarta",Puerto Vallarta,MX,20.6801,-105.254,JFK,1.0,4000.06,460.01,12.676852020260476
292,SMF,"Sacramento, Sacramento",Sacramento,US,38.6954,-121.591,JFK,1.0,4241.73,487.8,13.442682584037437
293,SCL,"Comodoro Arturo Merino Benítez, Santiago",Santiago,CL,-33.393,-70.7858,JFK,1.0,8388.61,964.69,26.584709844188342
294,UVF,"Hewanorra, Vieux Fort",Vieux Fort,LC,13.7332,-60.9526,JFK,1.0,3318.07,381.58,10.515495736812229
295,SIN,"Singapore Changi, Singapore",Singapore,SG,1.35019,103.994,JFK,1.0,15136.67,1740.72,47.97036988045438
296,WAW,"Warsaw Chopin, Warsaw",Warsaw,PL,52.1657,20.9671,JFK,1.0,6567.53,755.27,20.813560629860504
297,LIM,"Jorge Chávez, Lima",Lima,PE,-12.0219,-77.1143,JFK,0.9,6054.05,696.22,19.18627402349025
298,BER,"Berlin Brandenburg, Berlin",Berlin,DE,52.35139,13.493889,JFK,0.86,6107.96,702.42,19.357132227715407
299,CPH,"Copenhagen Kastrup, Copenhagen",Copenhagen,DK,55.6179,12.656,JFK,0.86,5907.16,679.32,18.72054762810232
300,GDL,"Don Miguel Hidalgo Y Costilla, Guadalajara",Guadalajara,MX,20.5218,-103.311,JFK,0.86,3870.42,445.1,12.265965596873848
301,ONT,"Ontario, Ontario",Ontario,US,34.056,-117.601,JFK,0.86,4129.73,474.92,13.087738443647106
302,RNO,"Reno Tahoe, Reno",Reno,US,39.4991,-119.768,JFK,0.86,4062.33,467.17,12.87416568836566
303,NRT,"Narita, Tokyo",Tokyo,JP,35.7647,140.386,JFK,0.86,10784.75,1240.25,34.178530288750366
304,DSS,"Blaise Diagne, Dakar",Dakar,SN,14.671111,-17.066944,JFK,0.71,5979.4,687.63,18.94955273731378
305,EDI,"Edinburgh, Edinburgh",Edinburgh,GB,55.95,-3.372499,JFK,0.71,4939.16,568.0,15.65281612901448
306,LGG,"Liège, Liège",Liège,BE,50.6374,5.44322,JFK,0.71,5674.89,652.61,17.984479461190386
307,OSL,"Oslo Gardermoen, Oslo",Oslo,NO,60.1939,11.100399,JFK,0.71,5638.86,648.47,17.870390273207782
308,SLK,"Adirondack Regional, Saranac Lake",Saranac Lake,US,44.3853,-74.2062,JFK,0.71,342.68,39.41,1.0860519078247546
309,YVR,"Vancouver, Vancouver",Vancouver,CA,49.1939,-123.184,JFK,0.71,4044.75,465.15,12.818498983118106
310,HPN,"Westchester County, White Plains",White Plains,US,41.067,-73.7076,JFK,0.71,266.84,30.69,0.8457481109145324
311,PTP,"Pointe-à-Pitre Le Raizet, Pointe-à-Pitre Le Raizet",Pointe-à-Pitre Le Raizet,GP,16.2653,-61.5318,JFK,0.64,3031.38,348.61,9.606915899182637
312,BEG,"Belgrade Nikola Tesla, Belgrade",Belgrade,RS,44.8184,20.3091,JFK,0.57,6959.95,800.39,22.05696743222165
313,BZN,"Gallatin Field, Bozeman",Bozeman,US,45.7775,-111.153,JFK,0.57,3204.01,368.46,10.153937730451892
314,OKC,"Will Rogers World, Oklahoma City",Oklahoma City,US,35.3931,-97.6007,JFK,0.57,2421.93,278.52,7.675391458192101
315,YHZ,"Halifax / Stanfield, Halifax",Halifax,CA,44.8808,-63.5086,JFK,0.57,666.45,76.64,2.1120278664219536
316,LEJ,"Leipzig Halle, Leipzig",Leipzig,DE,51.4324,12.2416,JFK,0.57,6074.74,698.6,19.25186152769281
317,NBO,"Jomo Kenyatta, Nairobi",Nairobi,KE,-1.319239,36.9278,JFK,0.57,11577.78,1331.44,36.69152377960394
318,MVY,"Martha's Vineyard, Martha's Vineyard",Martha's Vineyard,US,41.3931,-70.6143,JFK,0.57,112.89,12.98,0.3576999178778309
319,RZE,"Rzeszów-Jasionka, Rzeszów",Rzeszów,PL,50.11,22.019,JFK,0.57,6749.17,776.15,21.38896696925104
320,YYC,"Calgary, Calgary",Calgary,CA,51.1139,-114.02,JFK,0.43,3374.21,388.03,10.693243384756142
321,YHM,"John C. Munro Hamilton, Hamilton",Hamilton,CA,43.1736,-79.935,JFK,0.43,735.63,84.6,2.3313877544271566
322,ISP,"Long Island Mac Arthur, Islip",Islip,US,40.7952,-73.1002,JFK,0.43,246.59,28.36,0.781538495455723
323,JED,"King Abdulaziz, Jeddah",Jeddah,SA,21.6796,39.1565,JFK,0.43,9946.71,1143.87,31.52251194629541
324,ISO,"Kinston Regional Jetport At Stallings Field, Kinston",Kinston,US,35.3314,-77.6088,JFK,0.43,967.79,111.3,3.067180343590337
325,MNL,"Ninoy Aquino, Manila",Manila,PH,14.5086,121.02,JFK,0.43,13588.47,1562.67,43.06370806395609
326,AKL,"Auckland, Auckland",Auckland,NZ,-37.0081,174.792,JFK,0.43,14486.52,1665.95,45.90987505304872
327,RUH,"King Khaled, Riyadh",Riyadh,SA,24.9576,46.6988,JFK,0.43,10199.57,1172.95,32.32389203966115
328,CUR,"Hato, Willemstad",Willemstad,CW,12.188899,-68.9598,JFK,0.43,3350.16,385.27,10.617183926101072
329,GIG,"RIOgaleão – Tom Jobim, Rio de Janeiro",Rio de Janeiro,BR,-22.81,-43.250557,JFK,0.31,7759.78,892.37,24.5917315652265
330,LFW,"Lomé-Tokoin, Lomé",Lomé,TG,6.165609,1.25451,JFK,0.29,8095.06,930.93,25.65435936440748
331,AMM,"Queen Alia, Amman",Amman,JO,31.7226,35.9932,JFK,0.29,8935.29,1027.56,28.317267150581195
332,ABQ,"Albuquerque  Sunport, The Duke City",The Duke City,US,35.0402,-106.609,JFK,0.29,3176.42,365.29,10.06657958409806
333,BUR,"Bob Hope, Burbank",Burbank,US,34.2007,-118.359,JFK,0.29,4184.8,481.25,13.26217915860602
334,SUA,"Witham Field, Stuart",Stuart,US,27.1817,-80.2211,JFK,0.29,1880.89,216.3,5.960746705468015
335,FNC,"Madeira, Funchal",Funchal,PT,32.6979,-16.7745,JFK,0.29,4828.3,555.25,15.301454499357906
336,GAI,"Montgomery County Airpark, Gaithersburg",Gaithersburg,US,39.1683,-77.166,JFK,0.29,629.21,72.36,1.9940805899568448
337,HAV,"José Martí, Havana",Havana,CU,22.9892,-82.4091,JFK,0.29,2394.85,275.41,7.589686778330772
338,MNZ,"Manassas Regional /Harry P. Davis Field, Manassas",Manassas,US,38.7214,-77.5154,JFK,0.29,683.4,78.59,2.165765527428253
339,NCE,"Nice-Côte d'Azur, Nice",Nice,FR,43.6584,7.215869,JFK,0.29,6126.53,704.55,19.41583028819921
340,PDL,"João Paulo II, Ponta Delgada",Ponta Delgada,PT,37.7412,-25.6979,JFK,0.29,3854.21,443.23,12.214432557857547
341,NZY,"North Island Naval Air Station-Halsey Field, San Diego",San Diego,US,32.6992,-117.215,JFK,0.29,4168.06,479.33,13.20926823084597
342,PVG,"Shanghai Pudong, Shanghai",Shanghai,CN,31.1434,121.805,JFK,0.29,11760.36,1352.44,37.27023705197948
343,TAS,"Tashkent, Tashkent",Tashkent,UZ,41.2579,69.2812,JFK,0.29,9923.32,1141.18,31.44838153188159
344,VIE,"Schwechat, Vienna",Vienna,AT,48.1103,16.5697,JFK,0.29,6523.0,750.14,20.672189244751625
345,YWG,"Winnipeg / James Armstrong Richardson, Winnipeg City",Winnipeg City,CA,49.91,-97.2399,JFK,0.29,2179.11,250.6,6.905978383681388
346,SKB,"Robert L. Bradshaw, Basseterre",Basseterre,KN,17.3112,-62.7187,JFK,0.14,2887.16,332.02,9.149732414005964
347,BVY,"Beverly Municipal, Beverly",Beverly,US,42.5842,-70.9165,JFK,0.14,25.46,2.93,0.0807442803838247
348,BIS,"Bismarck Municipal, Bismarck",Bismarck,US,46.7727,-100.746,JFK,0.14,2397.18,275.68,7.597127377547028
349,CDW,"Essex County, Caldwell",Caldwell,US,40.8752,-74.2814,JFK,0.14,318.95,36.68,1.0108191824159352
350,CSG,"Columbus Metropolitan, Columbus",Columbus,US,32.5163,-84.9389,JFK,0.14,1643.57,189.01,5.2086950291285685
351,APA,"Centennial, Denver",Denver,US,39.5701,-104.849,JFK,0.14,2846.4,327.34,9.020762027590845
352,DOV,"Dover Air Force Base, Dover",Dover,US,39.1295,-75.466,JFK,0.14,520.23,59.83,1.648781670772775
353,CAN,"Guangzhou Baiyun, Guangzhou",Guangzhou,CN,23.3924,113.299,JFK,0.14,12710.31,1461.69,40.28092395707601
354,BDL,"Bradley, Hartford",Hartford,US,41.9389,-72.6832,JFK,0.14,146.22,16.82,0.4635217733979287
355,JAC,"Jackson Hole, Jackson",Jackson,US,43.6073,-110.738,JFK,0.14,3212.06,369.39,10.179566461085669
356,TYS,"McGhee Tyson, Knoxville",Knoxville,US,35.811,-83.994,JFK,0.14,1336.14,153.66,4.234527687296417
357,LNS,"Lancaster, Lancaster",Lancaster,US,40.1217,-76.2961,JFK,0.14,508.26,58.45,1.61075194144524
358,LUX,"Luxembourg-Findel, Luxembourg",Luxembourg,LU,49.6266,6.21152,JFK,0.14,5769.18,663.46,18.28348131858441
359,MCN,"Middle Georgia Regional, Macon",Macon,US,32.6928,-83.6492,JFK,0.14,1546.16,177.81,4.900047950528283
360,MSN,"Dane County Regional Truax Field, Madison",Madison,US,43.1399,-89.3375,JFK,0.14,1499.92,172.49,4.753440588193147
361,MMU,"Morristown Municipal, Morristown",Morristown,US,40.7994,-74.4149,JFK,0.14,332.97,38.29,1.0551871999647262
362,PHL,"Philadelphia, Philadelphia",Philadelphia,US,39.8719,-75.2411,JFK,0.14,450.44,51.8,1.4274927385263203
363,SVD,"E. T. Joshua, Kingstown",Kingstown,VC,13.1443,-61.2109,JFK,0.14,3373.94,388.0,10.692416651509893
364,TAB,"Tobago-Crown Point, Scarborough",Scarborough,TT,11.1497,-60.8322,JFK,0.14,3597.94,413.76,11.402304932290548
365,STL,"Lambert St Louis, Saint Louis",Saint Louis,US,38.7487,-90.37,JFK,0.14,1684.15,193.68,5.337389837794937
366,TEB,"Teterboro, Teterboro",Teterboro,US,40.8501,-74.0608,JFK,0.14,304.96,35.07,0.966451164867144
367,ICT,"Wichita Mid Continent, Wichita",Wichita,US,37.6499,-97.4331,JFK,0.14,2306.03,265.19,7.308046319108011
368,ZAZ,"Zaragoza Air Base, Zaragoza",Zaragoza,ES,41.6662,-1.04155,JFK,0.14,5622.05,646.54,17.81720376769898
